Time,Height
0,0.61
0.010416667,0.612
0.020833333,0.619
0.03125,0.623
0.041666667,0.625
0.052083333,0.628
0.0625,0.63
0.072916667,0.634
0.083333333,0.634
0.09375,0.639
0.104166667,0.64
0.114583333,0.642
0.125,0.641
0.135416667,0.642
0.145833333,0.642
0.15625,0.644
0.166666667,0.643
0.177083333,0.642
0.1875,0.641
0.197916667,0.641
0.208333333,0.642
0.21875,0.637
0.229166667,0.637
0.239583333,0.637
0.25,0.634
0.260416667,0.632
0.270833333,0.632
0.28125,0.63
0.291666667,0.628
0.302083333,0.626
0.3125,0.626
0.322916667,0.625
0.333333333,0.624
0.34375,0.621
0.354166667,0.619
0.364583333,0.62
0.375,0.614
0.385416667,0.615
0.395833333,0.611
0.40625,0.61
0.416666667,0.612
0.427083333,0.607
0.4375,0.607
0.447916667,0.604
0.458333333,0.602
0.46875,0.602
0.479166667,0.6
0.489583333,0.601
0.5,0.597
0.510416667,0.597
0.520833333,0.595
0.53125,0.594
0.541666667,0.592
0.552083333,0.592
0.5625,0.589
0.572916667,0.586
0.583333333,0.587
0.59375,0.584
0.604166667,0.58
0.614583333,0.577
0.625,0.576
0.635416667,0.575
0.645833333,0.572
0.65625,0.57
0.666666667,0.57
0.677083333,0.568
0.6875,0.565
0.697916667,0.561
0.708333333,0.559
0.71875,0.558
0.729166667,0.557
0.739583333,0.555
0.75,0.556
0.760416667,0.553
0.770833333,0.553
0.78125,0.55
0.791666667,0.55
0.802083333,0.55
0.8125,0.55
0.822916667,0.549
0.833333333,0.549
0.84375,0.55
0.854166667,0.548
0.864583333,0.548
0.875,0.547
0.885416667,0.545
0.895833333,0.545
0.90625,0.544
0.916666667,0.546
0.927083333,0.542
0.9375,0.539
0.947916667,0.538
0.958333333,0.537
0.96875,0.535
0.979166667,0.533
0.989583333,0.533
1,0.53
1.010416667,0.53
1.020833333,0.53
1.03125,0.53
1.041666667,0.529
1.052083333,0.526
1.0625,0.525
1.072916667,0.525
1.083333333,0.519
1.09375,0.524
1.104166667,0.52
1.114583333,0.519
1.125,0.517
1.135416667,0.515
1.145833333,0.514
1.15625,0.513
1.166666667,0.513
1.177083333,0.513
1.1875,0.512
1.197916667,0.512
1.208333333,0.51
1.21875,0.509
1.229166667,0.509
1.239583333,0.508
1.25,0.507
1.260416667,0.505
1.270833333,0.505
1.28125,0.505
1.291666667,0.504
1.302083333,0.504
1.3125,0.504
1.322916667,0.503
1.333333333,0.503
1.34375,0.502
1.354166667,0.501
1.364583333,0.5
1.375,0.5
1.385416667,0.499
1.395833333,0.498
1.40625,0.498
1.416666667,0.497
1.427083333,0.498
1.4375,0.497
1.447916667,0.497
1.458333333,0.495
1.46875,0.496
1.479166667,0.496
1.489583333,0.494
1.5,0.495
1.510416667,0.496
1.520833333,0.498
1.53125,0.499
1.541666667,0.503
1.552083333,0.502
1.5625,0.499
1.572916667,0.499
1.583333333,0.503
1.59375,0.517
1.604166667,0.522
1.614583333,0.52
1.625,0.516
1.635416667,0.513
1.645833333,0.514
1.65625,0.523
1.666666667,0.546
1.677083333,0.571
1.6875,0.581
1.697916667,0.575
1.708333333,0.561
1.71875,0.546
1.729166667,0.534
1.739583333,0.524
1.75,0.521
1.760416667,0.518
1.770833333,0.516
1.78125,0.513
1.791666667,0.513
1.802083333,0.511
1.8125,0.51
1.822916667,0.509
1.833333333,0.508
1.84375,0.507
1.854166667,0.507
1.864583333,0.507
1.875,0.507
1.885416667,0.508
1.895833333,0.508
1.90625,0.508
1.916666667,0.509
1.927083333,0.508
1.9375,0.507
1.947916667,0.507
1.958333333,0.508
1.96875,0.511
1.979166667,0.516
1.989583333,0.518
2,0.519
2.010416667,0.521
2.020833333,0.521
2.03125,0.524
2.041666667,0.523
2.052083333,0.528
2.0625,0.534
2.072916667,0.545
2.083333333,0.561
2.09375,0.584
2.104166667,0.596
2.114583333,0.601
2.125,0.61
2.135416667,0.624
2.145833333,0.635
2.15625,0.646
2.166666667,0.657
2.177083333,0.674
2.1875,0.686
